id,date,current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
DD-4D5E3535AE614FE7AF69-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,39 dk.,"23,6 km",MG-AOUMXHKWRKWOZB5AZ7UN,41.0475223,29.0761274
DD-BB9AE18C38B446AEAC2E-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,27 dk.,"21,7 km",MG-KTQH2ADWMARCG0DLHWKX,40.9845564,29.0477845
DD-411DAEE4E132437D8350-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,27 dk.,"17,3 km",MG-C1LGMZ7KTLQUDMPWOYLY,40.9696194,29.25556
DD-C38EB9D264B045EE8A0D-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,11 dk.,"4,5 km",MG-FPSXQ62YWQZ8GFRXNIUR,40.9191952,29.1641401
DD-77B887D5F3994244A39A-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,10 dk.,"3,6 km",MG-E6HEGRWU1J4PBBGLINBN,40.889254,29.2001113
DD-05431BFF34E2433B9F35-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,30 dk.,"26,1 km",MG-G8SER5RHTGTJXVCA9V2M,40.9395705,29.3176217
DD-6BA5E891A64C4D47A355-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,12 dk.,"7,5 km",MG-SWNY7GTJBI89E08T4JFL,40.8712304,29.2319842
DD-8D6F7814D9244423B583-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,39 dk.,"26,4 km",MG-VJEUBK1JZEQGFUY13AYK,41.049788,29.0545406
DD-8B7CBB383B1E4C32A53A-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,17 dk.,"12,8 km",MG-UXJPDIXYECVETWF4FSH5,40.8661939,29.2749606
DD-646E5E53C74044E9ADC3-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,24 dk.,"15,3 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
DD-E83A83D6C64246FF8CCF-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,28 dk.,"17,2 km",MG-N5F1BSFYCBSWFCMPENYG,40.979588,29.0669776
DD-85EC6526D45049B3A735-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,17 dk.,"9,6 km",MG-R3US4EXI19IFYPJGBGGE,40.879326,29.258135
DD-986DCE7638D04CDABA6C-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,6 dk.,"2,1 km",MG-PJTPBQMDNFYF13IHOERG,40.908962,29.161173
DD-4CBEDB55CF2F4580B7C4-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,32 dk.,"18,1 km",MG-LTWVHHDZLN26T8PU8VJM,41.0102647,29.2160216
DD-B7B34129BADA467B8125-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,31 dk.,"21,3 km",MG-LEOVSQ2VO3KGWOCAKQNX,40.967565,29.26595
